target,TVTSyn,Ours,target_diff
/data/mtseng/voice_datasets/voxceleb2/data/id07354/wav/Ay1cBC5TXUc_00090.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id07354/H005916__5694_64038_000015_000012.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id07354/H005916__5694_64038_000015_000012.wav,
/data/mtseng/voice_datasets/voxceleb2/data/id06104/wav/OvdwSKAEHH0_00144.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id06104/H005301__3331_159605_000019_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id06104/H005301__3331_159605_000019_000001.wav,
/data/mtseng/voice_datasets/voxceleb2/data/id05999/wav/hOpUvJt8nvM_00238.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id05999/H005299__4323_13259_000011_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id05999/H005299__4323_13259_000011_000000.wav,
/data/mtseng/voice_datasets/voxceleb2/data/id01041/wav/HoiLttDqPWo_00163.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id01041/H000766__3752_4943_000013_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id01041/H000766__3752_4943_000013_000000.wav,
/data/mtseng/voice_datasets/ARCTIC/data/BDL/wav/arctic_a0366.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/BDL/H007728__3005_163399_000039_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/BDL/H007728__3005_163399_000039_000000.wav,
/data/mtseng/voice_datasets/ARCTIC/data/RMS/wav/arctic_a0050.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/RMS/H007824__237_134493_000023_000002.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/RMS/H007824__237_134493_000023_000002.wav,
/data/mtseng/voice_datasets/ARCTIC/data/CLB/wav/arctic_a0465.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/CLB/H008071__7902_96592_000079_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/CLB/H008071__7902_96592_000079_000000.wav,
/data/mtseng/voice_datasets/ARCTIC/data/BDL/wav/arctic_a0192.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/BDL/H007745__7729_102255_000011_000004.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/BDL/H007745__7729_102255_000011_000004.wav,
/data/mtseng/voice_datasets/EMIME/data/FM1/wav/FM1_ENG_0116_0.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/FM1/H010245__5142_36600_000010_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/FM1/H010245__5142_36600_000010_000001.wav,
/data/mtseng/voice_datasets/EMIME/data/FM6/wav/FM6_ENG_0078_1.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/FM6/H010725__8288_274162_000014_000003.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/FM6/H010725__8288_274162_000014_000003.wav,
