target,TVTSyn,Ours
/data/mtseng/voice_datasets/voxceleb2/data/id05999/wav/GX4a7FR8QNY_00059.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id05999/H005242__3915_98647_000017_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id05999/H005242__3915_98647_000017_000001.wav
/data/mtseng/voice_datasets/voxceleb2/data/id07354/wav/Ay1cBC5TXUc_00090.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id07354/H005916__5694_64038_000015_000012.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id07354/H005916__5694_64038_000015_000012.wav
/data/mtseng/voice_datasets/voxceleb2/data/id04478/wav/GZQGZOmFU5U_00069.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id04478/H004005__251_118436_000016_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id04478/H004005__251_118436_000016_000001.wav
/data/mtseng/voice_datasets/ARCTIC/data/RMS/wav/arctic_b0329.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/RMS/H007867__2803_154328_000055_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/RMS/H007867__2803_154328_000055_000001.wav
/data/mtseng/voice_datasets/ARCTIC/data/RMS/wav/arctic_b0394.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/RMS/H007874__8188_269288_000019_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/RMS/H007874__8188_269288_000019_000000.wav
/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_b0182.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/SLT/H007972__8131_117017_000012_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/SLT/H007972__8131_117017_000012_000000.wav
/data/mtseng/voice_datasets/EMIME/data/EM7/wav/EM7_ENG_0043_1.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/EM7/H009458__260_123288_000044_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/EM7/H009458__260_123288_000044_000000.wav
/data/mtseng/voice_datasets/EMIME/data/GM4/wav/GM4_ENG_0032_0.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/GM4/H011981__8131_117016_000039_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/GM4/H011981__8131_117016_000039_000000.wav
/data/mtseng/voice_datasets/EMIME/data/GM7/wav/GM7_ENG_0073_1.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/GM7/H012216__4446_2275_000006_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/GM7/H012216__4446_2275_000006_000000.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/YDCK/wav/arctic_a0142.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/YDCK/H015175__1701_141759_000035_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/YDCK/H015175__1701_141759_000035_000000.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/TXHC/wav/arctic_a0263.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/TXHC/H014422__8131_117016_000005_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/TXHC/H014422__8131_117016_000005_000000.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/YKWK/wav/arctic_a0257.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/YKWK/H015238__6432_63723_000054_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/YKWK/H015238__6432_63723_000054_000001.wav
/data/mtseng/voice_datasets/VCTK/data/p335/wav/p335_312.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p335/H025314__700_122866_000025_000004.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p335/H025314__700_122866_000025_000004.wav
/data/mtseng/voice_datasets/VCTK/data/p282/wav/p282_215.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p282/H021618__260_123440_000024_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p282/H021618__260_123440_000024_000001.wav
/data/mtseng/voice_datasets/VCTK/data/p255/wav/p255_125.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p255/H018956__3005_163399_000043_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p255/H018956__3005_163399_000043_000000.wav
